Datetime,APOLLOHOSP,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BEL,BPCL,BRITANNIA,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GOLDIETF,GRASIM,HCLTECH,HDFCBANK,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFY,ITC,JSWSTEEL,KOTAKBANK,LT,M&M,MARUTI,NESTLEIND,NIFTY,NTPC,ONGC,RELIANCE,SBILIFE,SBIN,SETFNIF50,SHRIRAMFIN,SUNPHARMA,TATACONSUM,TATAMOTORS,TATASTEEL,TCS,TECHM,TITAN,TRENT,ULTRACEMCO,WIPRO
2021-01-01T00:00:00,2414.85,2775.55,623.8,3481.25,42.13,190.98,3567.8,826.6,135.35,1048.27,2542.7,44.76,929.7,950.5,1425.05,3102.65,238.35,2387.55,527.5,900.15,1260.45,202.3,389.7,1994.05,1297.0,732.45,7691.3,1845.07,14018.5,99.05,93.2,902.19,895.4,279.4,145.36,214.17,596.25,594.11,186.5,64.31,2928.25,977.95,1558.6,674.65,5290.8,194.05
2021-01-04T00:00:00,2409.25,2753.7,624.7,3522.45,43.77,197.68,3552.9,832.25,137.25,1054.45,2655.7,45.46,960.63,980.4,1416.0,3043.85,254.3,2426.5,531.7,897.85,1288.25,201.88,403.1,1965.55,1314.6,749.1,7702.3,1837.8,14132.9,99.05,96.95,903.71,911.4,281.05,146.72,215.35,604.4,596.58,191.3,69.3,3039.45,1001.95,1550.9,678.5,5327.2,198.2
2021-01-05T00:00:00,2509.45,2793.85,664.45,3492.65,43.83,196.0,3551.1,827.25,135.15,1057.38,2674.9,45.84,957.49,991.35,1426.7,3067.2,250.3,2450.55,537.25,921.65,1293.8,200.03,395.25,1959.75,1306.3,740.1,7655.45,1855.83,14199.5,97.6,94.95,892.47,905.55,281.75,147.45,222.83,603.45,602.06,193.2,68.06,3093.0,1003.85,1570.95,675.0,5341.2,203.15
2021-01-06T00:00:00,2502.15,2805.35,654.25,3462.7,44.38,193.65,3539.7,824.8,135.1,1057.66,2645.35,46.01,980.7,978.2,1420.55,3083.55,259.05,2417.3,546.7,922.35,1282.1,194.31,401.7,1970.4,1314.0,736.1,7628.6,1851.53,14146.25,97.85,96.95,868.94,910.3,285.05,146.94,239.44,605.3,597.52,195.4,68.38,3051.5,997.15,1572.6,676.65,5448.35,203.2
2021-01-07T00:00:00,2508.55,2792.25,671.1,3437.95,43.92,196.1,3552.8,826.55,136.5,1054.18,2649.8,45.38,989.91,962.55,1416.25,3055.25,272.9,2368.85,541.1,952.05,1262.15,191.85,405.4,1952.4,1338.95,744.4,7566.05,1812.73,14137.35,97.0,97.9,867.53,914.15,287.7,146.99,261.36,601.9,593.47,196.75,72.28,3032.8,994.75,1542.35,675.45,5397.95,203.38
2021-01-08T00:00:00,2553.5,2844.7,672.7,3529.15,44.03,200.08,3575.25,838.7,139.7,1067.65,2760.85,44.92,1000.32,994.65,1431.65,3161.1,268.2,2391.2,542.05,939.8,1312.1,190.62,402.85,1970.7,1373.4,770.5,8014.9,1830.63,14347.25,100.15,100.65,877.76,935.5,286.0,148.37,259.14,620.8,602.06,198.15,71.32,3120.9,1051.1,1548.6,695.4,5591.75,215.1
2021-01-11T00:00:00,2550.55,2849.3,666.95,3617.35,44.87,200.88,3612.85,856.85,141.7,1083.36,2777.15,44.12,1000.32,1055.1,1451.45,3197.7,264.7,2429.1,544.7,929.1,1376.2,191.57,399.05,1938.15,1350.0,789.1,8232.75,1839.15,14484.75,99.0,102.55,861.22,936.25,282.5,149.88,250.33,621.0,621.28,220.65,69.57,3176.45,1077.6,1563.9,693.75,5623.7,223.4
2021-01-12T00:00:00,2517.25,2720.55,675.7,3624.25,44.82,201.28,3631.65,843.15,146.65,1070.77,2881.65,44.26,1006.3,1062.1,1481.0,3248.25,264.35,2375.9,548.0,927.65,1371.75,195.3,399.55,1903.45,1349.8,779.85,8188.05,1799.91,14563.45,100.15,103.45,888.36,925.0,292.5,150.79,252.52,609.65,616.63,237.8,69.49,3174.85,1064.2,1527.1,684.6,5639.0,228.85
2021-01-13T00:00:00,2479.2,2703.7,687.8,3600.9,44.68,205.95,3621.15,841.7,145.8,1058.0,2868.65,44.09,1029.26,1055.95,1470.65,3256.8,262.65,2372.35,556.5,942.75,1387.15,199.84,402.95,1882.1,1352.5,828.35,8139.85,1801.93,14564.85,102.55,105.25,880.08,926.55,306.8,151.23,243.37,602.3,612.78,242.6,70.92,3158.95,1069.65,1505.8,673.25,5650.75,229.5
2021-01-14T00:00:00,2512.0,2663.9,676.0,3576.05,46.38,213.35,3665.45,840.9,146.65,1061.78,2886.6,43.77,1016.21,1027.7,1468.75,3266.6,261.4,2398.55,553.3,969.7,1370.5,202.59,396.4,1892.65,1376.6,829.9,8149.45,1813.26,14595.6,102.2,105.05,889.98,925.15,307.25,151.42,243.69,607.05,606.46,245.1,70.64,3250.7,1052.6,1489.95,654.6,5582.35,227.18
