,ASIANPAINT,EICHERMOT,HEROMOTOCO,TATAMOTORS,APOLLOHOSP,SBIN,M&M,BEL,JSWSTEEL,ICICIBANK,INDUSINDBK,ONGC,BAJAJ-AUTO,BRITANNIA,NESTLEIND,HINDALCO,RELIANCE,TRENT,TATASTEEL,DRREDDY,SHRIRAMFIN,KOTAKBANK,HDFCBANK,AXISBANK,NTPC,TECHM,SBILIFE,CIPLA,GRASIM,HINDUNILVR,LT,TATACONSUM,WIPRO,TITAN,BPCL,INFY,SUNPHARMA,TCS,MARUTI,HCLTECH,COALINDIA,ULTRACEMCO,GOLDIETF
0,2498.6,5688.5,4331.1,692.25,7487.0,811.45,3182.5,418.7,1036.5,1433.5,850.8,244.0,8370.0,5846.5,2433.9,674.4,1548.0,5420.0,158.2,1271.4,681.7,2220.4,2011.5,1167.1,345.1,1617.0,1814.2,1491.7,2809.8,2430.1,3580.0,1100.2,266.8,3443.5,351.9,1629.3,1675.1,3373.6,12473.0,1676.4,385.7,12469.0,82.77
0,2497.3,5688.5,4331.0,692.3,7484.5,811.5,3182.5,418.5,1036.6,1433.5,850.6,243.94,8370.0,5848.0,2434.0,674.35,1548.0,5420.0,158.15,1271.3,682.05,2221.0,2011.3,1167.1,345.1,1618.0,1814.3,1491.7,2808.7,2430.0,3580.5,1100.1,266.95,3444.6,351.95,1629.6,1675.2,3373.6,12474.0,1677.4,385.7,12468.0,82.78
0,2498.0,5689.0,4330.8,692.3,7484.5,811.5,3181.1,418.55,1036.6,1433.6,850.6,243.95,8370.0,5847.0,2434.0,674.4,1547.9,5420.0,158.16,1271.3,682.1,2221.0,2011.3,1167.1,345.1,1617.7,1814.3,1491.9,2809.6,2430.1,3579.9,1100.5,267.15,3444.6,352.0,1629.5,1675.2,3373.5,12474.0,1677.4,385.7,12462.0,82.78
0,2498.5,5689.0,4330.2,692.3,7483.5,811.5,3181.5,418.5,1036.3,1433.6,850.6,244.04,8371.5,5846.0,2433.9,674.25,1547.8,5419.5,158.18,1271.2,682.05,2221.0,2011.5,1167.0,345.1,1617.7,1814.7,1491.7,2809.5,2430.1,3580.3,1100.0,267.2,3445.0,351.95,1629.4,1675.1,3374.0,12473.0,1677.6,385.75,12466.0,82.79
0,2497.7,5688.5,4330.5,692.25,7484.5,811.5,3181.5,418.55,1036.9,1433.6,850.6,244.0,8371.0,5846.0,2433.9,674.5,1547.9,5419.5,158.29,1271.5,682.1,2220.8,2011.5,1167.0,345.1,1617.8,1814.7,1492.2,2808.6,2430.1,3581.3,1100.5,267.2,3444.9,351.95,1630.0,1675.1,3373.6,12472.0,1677.1,385.95,12469.0,82.78
0,2497.6,5688.5,4330.2,692.25,7484.5,811.4,3181.8,418.45,1036.3,1433.5,850.55,244.12,8367.0,5845.5,2433.6,674.2,1548.0,5420.0,158.18,1271.5,682.15,2221.0,2011.0,1167.0,345.1,1618.4,1814.3,1492.7,2808.6,2430.0,3581.1,1100.0,267.2,3445.0,351.9,1630.0,1675.1,3373.8,12470.0,1677.3,385.85,12469.0,82.78
0,2498.6,5687.0,4330.9,692.25,7484.5,811.5,3181.0,418.45,1036.1,1433.4,850.6,244.12,8367.5,5845.0,2433.9,673.65,1548.0,5421.5,158.16,1271.5,682.05,2221.1,2011.9,1167.0,345.05,1617.7,1814.4,1492.7,2809.6,2430.0,3580.3,1100.3,267.1,3444.9,351.9,1629.7,1675.1,3373.9,12470.0,1677.3,385.95,12476.0,82.78
0,2498.6,5689.0,4333.5,692.25,7484.5,811.45,3180.7,418.4,1036.4,1433.2,850.95,244.18,8368.5,5846.0,2434.0,673.75,1548.0,5423.0,158.16,1271.3,682.1,2221.1,2012.1,1167.1,345.05,1617.6,1814.4,1493.1,2808.7,2429.7,3579.6,1100.2,267.2,3444.9,351.85,1629.8,1675.2,3373.9,12467.0,1677.3,385.85,12476.0,82.78
0,2498.4,5688.0,4332.8,692.3,7483.0,811.45,3180.7,418.45,1036.6,1433.0,850.95,244.1,8362.5,5846.0,2433.7,673.85,1548.0,5422.5,158.16,1271.4,682.1,2220.2,2012.4,1167.0,345.0,1617.1,1814.7,1493.7,2809.5,2429.4,3579.9,1100.5,267.1,3444.9,351.85,1629.5,1675.4,3373.9,12465.0,1677.0,385.85,12476.0,82.77
0,2498.7,5690.0,4333.0,692.3,7484.0,811.45,3180.5,418.6,1036.2,1433.3,850.95,244.19,8361.5,5847.0,2434.0,673.9,1547.9,5421.0,158.16,1271.3,682.1,2221.0,2012.4,1167.2,345.0,1617.1,1814.5,1493.2,2809.5,2429.4,3580.7,1100.0,267.1,3444.9,351.8,1630.1,1675.8,3373.9,12465.0,1677.3,385.9,12476.0,82.77
